TF,PANC1.WT.Rep1,PANC1.WT.Rep2,PANC1.WT.Rep3,PANC1.FOXA2KO.Rep1,PANC1.FOXA2KO.Rep2,PANC1.FOXA2KO.Rep3
USF1,2.6632668701748328,2.8888640856171195,2.9155718189340956,3.019197042037783,2.9433405929991174,2.7286757700600908
HNF4A,-2.226756130721838,-2.6214747490222807,-2.3522416215294975,-2.9503988896406748,-2.641654761892707,-2.1283255263760865
SP1,2.6529867620100225,2.871214607330125,3.3632323155760386,3.598715542800443,3.897569393962745,3.9035573081440695
FOS,0.3783086431605558,-0.7699725345782698,-0.1268416371290026,-0.35278104824684775,-0.3936197468462268,0.8981468882234495
SRF,3.1385352223159066,3.0028986996419427,3.0956523895700903,2.799789600157551,2.946419471341977,3.6837468056979157
CREB1,0.5215426824177732,0.14487042210426299,0.5387303947585982,-0.11725424928895366,0.3888461624013291,0.5593218935014982
E2F1,0.5010526402111535,2.4963083728618005,2.63964598162945,2.8177878869729067,2.9482526408681373,2.244512787730349
NFKB1,0.3821956802880209,-0.44810386004613667,0.20068740368399615,0.540193749237944,0.7740202550103363,2.699473553115738
CEBPA,-1.585023070123822,-2.3048725286562877,-2.0929616040192625,-2.574275471784808,-2.2211820271178304,-1.3767149146150013
POU2F1,0.6689225361256873,0.1714705059727787,0.2997818413463399,0.7857821498909012,0.9414677877040218,1.4161589665930507
GATA3,-2.587233586983516,-3.408286762750636,-3.109824102052499,-3.633052137364957,-3.582110852320914,-2.708859281702356
RFX1,-1.8182847293055693,-2.146837357551039,-2.1645950628040462,-2.1246099891473453,-1.9388537702483177,-2.0758234005655414
VDR,2.583383270442367,2.614263967495605,2.5686246297472786,2.92306354519155,2.9756591492535174,3.3459512805678573
MITF,-2.2070076224756785,-2.5524424153816065,-2.5132298295295947,-2.1690300949959864,-2.2208390296089884,-2.420090803865033
CEBPB,1.691600229068242,1.3038002092103882,0.45390877548075015,0.9113930234635971,0.6909806492133421,1.2118658557322026
CTCF,-5.602799470668031,-5.366125306575819,-5.096628130481376,-5.167717827533326,-5.0696617776922235,-5.221451939878771
E2F4,3.888122996030867,7.379753451749075,8.051186361579752,8.175558088662376,8.325848084053348,7.2134813976105825
E2F6,1.2386962299776783,0.40962912200942814,0.4690644899108311,0.32439856487044505,0.36213420085749465,0.3738295617011847
EGR1,-2.450895707991016,-1.452067969487239,-0.7564795986015062,-0.7188595043009111,-0.2682909370035494,-0.7817637407246326
ETS1,2.469377263272916,3.0833307761756164,4.035555394631841,3.878341079604131,4.479870515815698,4.218691286657837
ETV4,0.23844178033605554,0.11415362923402281,0.07991581985751608,0.5246197862940314,0.6134135382394105,1.034706594221801
CREM,-0.6327286267363753,-1.204372680483943,-0.9536443322802605,-0.08385741277235763,-0.9367708803981051,-0.42047967017310206
FOSL2,-0.036809975215247925,-0.21310990473278754,0.034864045605407984,-0.0038346978101142376,-0.24058966638703283,0.34218897623088035
FOXA1,-2.98863089680292,-3.774307038516079,-3.5614445459338695,-4.183753785924522,-4.011659712364343,-3.1345839605455916
GATA2,-3.6293516447485015,-4.616797249677075,-4.85097898232282,-4.86116661498636,-4.939910192058125,-4.107336637268695
IRF1,1.3381940959519658,0.7964710810843639,1.1787093873796575,1.6486565072520682,1.5372122883207444,1.9759109905249597
IRF4,-0.7236797128165404,-0.7003134938694636,-0.9458598236118394,-0.503223253562611,-0.5320412633444512,-0.3817920413480629
JUN,-0.6451947637115889,-1.8902032514683214,-0.5418661905535512,-1.0237624058151664,-0.16163074717516565,1.150867102944022
