gene,PANC1.WT.Rep1,PANC1.WT.Rep2,PANC1.WT.Rep3,PANC1.FOXA2KO.Rep1,PANC1.FOXA2KO.Rep2,PANC1.FOXA2KO.Rep3
NOC2L,10.052587628698964,11.949122836136782,12.057774339672992,12.312291074316427,12.139918058236644,11.494205488660393
PLEKHN1,7.535115457943933,8.125993265563896,8.714880049818444,8.048196040651593,8.290153828585925,8.621239408273297
PERM1,6.281242294118275,6.424581512136459,6.589668452110713,6.293285419217782,6.486136193732257,6.7753444063281565
ISG15,10.93825154844711,11.469081219555058,11.42541458004896,11.54998605298464,11.37146376867933,11.178157144234367
AGRN,6.956335390096064,7.196108013428466,7.5225501542781945,7.0615488147166126,7.485533672382402,7.071555054757086
C1orf159,9.546223795883783,9.788721369213032,9.79458854259534,9.850830206503902,9.988068925588713,9.965356753092403
SDF4,7.947054091666216,8.066704528056786,8.586494957187373,8.013757631987524,8.427627320388922,7.649371558628072
B3GALT6,7.790389315754556,8.17734666203218,7.6085787756325285,7.834628590620614,7.6573227007695905,7.3850612546995364
C1QTNF12,9.200364647927897,10.39048475873755,8.084432663752034,10.158588987077769,10.059839867959075,7.676712256775964
UBE2J2,8.055497898296977,9.034984108921963,9.206024721728811,9.166922255251093,9.966445052840317,8.537964558775485
PUSL1,9.87024035415899,10.084596239826677,10.052951625932618,10.158588987077769,10.112824741167778,10.01707798246483
INTS11,11.827622635622538,11.47136906392288,11.597461824743098,11.580209879506455,11.494197470001959,11.693075955975553
CPTP,8.350762890388399,9.047305247226962,8.793512430062295,8.91655861738434,8.94301492775575,8.076305816876566
DVL1,7.054636206479566,7.228930367662008,7.237631688389612,7.038894081270296,7.3959342846155405,7.511920292713636
MXRA8,8.522055957710062,8.803990546242655,7.544542993039192,8.472612683696688,8.88162344386375,7.958720431065913
AURKAIP1,12.634558197397409,12.760803974120794,12.789979189555167,12.906926684084926,12.737922906961247,12.669862666790394
CCNL2,8.418788507160484,8.395434187374345,8.410061422101185,8.244124184286122,8.218785983696565,9.263594129925128
MRPL20,12.314705434296826,12.824381537949847,12.815641140710559,12.845427224601988,12.788092575378142,12.584246539148502
VWA1,8.508244098092995,8.864427560524705,8.734146364318098,8.4556077740646,9.14627117737019,8.071163884539216
ATAD3C,6.587418293786353,6.53369170353457,6.310475541486463,6.4037934055295,6.41494000825719,6.542541574620549
ATAD3B,6.828787514666942,7.946867105554865,7.785216696042516,8.302351480181747,8.52382329853032,7.866752168605592
ATAD3A,6.817631517007523,7.449205155862234,7.3748900623895715,7.5280162153731816,7.81081552695804,7.488968388280066
SSU72,12.015096407437838,12.109009978704876,11.866962103320986,12.12366180557899,12.145770693910057,11.894269187347104
CDK11B,8.323417353009345,8.17734666203218,8.734146364318098,8.58243398956709,8.86502399459406,8.30376739425171
SLC35E2B,9.73149656675774,9.330458917837136,9.251303901803604,9.517624787453206,9.336487474455762,9.732783022184943
CDK11A,7.916006889545937,7.458461000525521,8.148062959427719,7.7039254930912495,8.197729486733799,7.9362721314180895
SLC35E2A,8.91909787345948,8.102569331542599,7.580468719625763,7.954467976576291,8.197729486733799,8.405325823751822
NADK,8.064963898056902,7.886429351616719,7.676547229927529,7.674832742956488,7.754250649846956,8.136620640451191
GNB1,10.361895475974453,10.22001056699334,10.578620557693073,10.332832945010313,10.398859315757123,10.3424585581649
PRKCZ,6.664160749487585,6.405566453183459,6.310475541486463,6.367889698248007,6.586747403089567,6.369044765807567
FAAP20,8.433479404298506,8.710243770082645,9.076158724575214,8.925849114424,9.309750581624009,8.449586918071342
SKI,6.533890782897733,6.6832906704937205,6.905090475278901,6.64788544113104,6.740255718270799,6.723850099125933
MORN1,6.390680733456004,6.698994278940297,6.711313714283068,6.72086199921,6.769090433665672,6.450501153644561
RER1,11.532025738083835,11.506932110584248,11.872406521768296,11.73047805916693,11.460893347600855,11.464118658078458
PEX10,8.002294677389111,9.41608696969047,9.08368850778817,9.024280683103857,9.282508813986265,8.13168960408083
PLCH2,NA,6.366767602756883,7.115614677066544,NA,6.377979597580996,6.2648090393592115
PANK4,8.890101507438924,9.783206941485881,9.5374445392524,9.541996494403916,9.515198355043673,9.052827791575547
