"","PANC1.WT.Rep1","PANC1.WT.Rep2","PANC1.WT.Rep3","PANC1.FOXA2KO.Rep1","PANC1.FOXA2KO.Rep2","PANC1.FOXA2KO.Rep3"
"Androgen",-1.44065913461224,-0.907420938186988,-0.444274835412092,-0.715810874799299,-0.459417224131453,-0.477611264368779
"EGFR",0.916449727552058,1.19126665496967,2.03001141543271,1.79050867079251,1.85779858688719,1.78999376750074
"Estrogen",-0.316803353631974,-0.0661058599629493,0.110001016155432,0.0342299821251285,0.200527351008853,-0.0553297951471479
"Hypoxia",2.60665443923144,2.57043627154506,2.2052419341545,2.21795027354081,2.340533524347,2.45435269567845
"JAK.STAT",-0.807567710515076,-1.72769746384748,-1.73532219553947,-0.473570823864677,-1.09636132265703,-0.266627498746553
"MAPK",0.251779012373989,0.133381863369638,0.839925326038157,1.02073976000753,1.38181750840042,1.84602634381324
"NFkB",-2.17897984582562,-2.91707803768138,-1.82078494189174,-2.11928420777118,-1.44167798754377,0.686494293381082
"p53",-0.207527908629738,-0.582061886364672,-0.807613734696317,-0.875149207462262,-1.08560800538653,-0.469488813313985
"PI3K",1.6327801406262,2.43932861030921,2.68334310028413,2.65930360222815,3.00845287543906,2.79420063625956
"TGFb",-0.419096356414081,-0.360711974188281,-0.483612847189851,-0.633855642860523,-0.510855810576172,-0.918177304654121
"TNFa",-0.824112537934067,-1.78704314811645,-0.697677080414655,-1.06313295968681,-0.468560176588038,1.78235409710548
"Trail",-1.81012730684321,-1.98394344432932,-2.11682634187701,-1.79233209606083,-1.89139354636572,-1.603132412181
"VEGF",-0.704303281363892,-0.483265488520751,-0.428079478271489,-0.569834377658555,-0.582103768315723,-0.460276984313418
"WNT",-0.615387740047796,-0.586639044203211,-0.405047609963432,-0.682215377722267,-0.699148368764696,-0.792202425535162
