sample,condition
PANC1.WT.Rep1,PANC1.WT
PANC1.WT.Rep2,PANC1.WT
PANC1.WT.Rep3,PANC1.WT
PANC1.FOXA2KO.Rep1,PANC1.FOXA2KO
PANC1.FOXA2KO.Rep2,PANC1.FOXA2KO
PANC1.FOXA2KO.Rep3,PANC1.FOXA2KO
