Node,NodeType,ZeroAct,UpAct,DownAct,AvgAct
CXCR4,,0,0,100,-100
E2F4,M,0,100,0,100
EGLN2,,0,100,0,100
EPAS1,M,0,100,0,100
FBXW7,,0,0,100,-100
GTF2I,,0,100,0,100
HNF4A,M,0,0,100,-100
MAFG,M,0,0,100,-100
MAPK8,,0,100,0,100
NPM1,,0,100,0,100
PIK3R1,,0,100,0,100
PRRX1,,0,100,0,100
SMAD3,,0,100,0,100
SOX9,M,0,100,0,100
SRC,,0,100,0,100
SRF,M,0,100,0,100
STAT2,M,0,0,100,-100
TGFB1,P,0,100,0,100
TP53,,0,0,100,-100
TP63,M,0,100,0,100
